InspectionID,VendorType,ViolationType,FineImposed,Date,Risk_level
INSP00042,Restaurant,No License,3286,2024-09-14,High Risk
INSP00043,Restaurant,Poor Hygiene,1373,2024-11-04,Medium Risk
INSP00044,Street Vendor,Expired Product,9466,2024-06-20,High Risk
INSP00045,Retail,No License,2025,2024-10-16,High Risk
INSP00046,Retail,No License,508,2025-06-23,High Risk
INSP00047,Street Vendor,Poor Hygiene,3378,2025-04-16,Medium Risk
INSP00048,Street Vendor,No License,7298,2025-10-14,High Risk
INSP00049,Retail,Poor Hygiene,4050,2024-12-13,Medium Risk
INSP00050,Street Vendor,No License,5358,2024-10-10,High Risk
INSP00051,Retail,Poor Hygiene,7349,2025-02-24,Medium Risk
INSP00052,Restaurant,Poor Hygiene,3624,2025-12-30,Medium Risk
INSP00053,Retail,Expired Product,4568,2024-05-25,High Risk
INSP00054,Street Vendor,Expired Product,2837,2025-03-20,High Risk
INSP00055,Restaurant,No License,4387,2025-12-16,High Risk
INSP00056,Street Vendor,No License,7921,2025-08-26,High Risk
INSP00057,Restaurant,No License,816,2025-05-04,High Risk
INSP00058,Street Vendor,Expired Product,1831,2025-01-05,High Risk
INSP00059,Street Vendor,Expired Product,4955,2025-12-24,High Risk
INSP00060,Retail,Expired Product,3989,2025-08-02,High Risk
INSP00061,Retail,Expired Product,4100,2025-09-07,High Risk
INSP00062,Retail,No License,6262,2025-07-29,High Risk
INSP00063,Street Vendor,Expired Product,5121,2025-12-17,High Risk
INSP00064,Street Vendor,No License,9388,2024-10-31,High Risk
INSP00065,Restaurant,Poor Hygiene,9903,2025-03-08,Medium Risk
INSP00066,Restaurant,Expired Product,5044,2025-07-07,High Risk
INSP00067,Restaurant,Expired Product,2042,2024-12-18,High Risk
INSP00068,Retail,Poor Hygiene,6691,2024-07-18,Medium Risk
INSP00069,Restaurant,Poor Hygiene,3729,2025-12-31,Medium Risk
INSP00070,Street Vendor,No License,2487,2024-11-25,High Risk
INSP00071,Retail,No License,6202,2025-01-24,High Risk
INSP00072,Retail,Expired Product,6166,2025-09-17,High Risk
INSP00073,Restaurant,Poor Hygiene,7431,2025-10-20,Medium Risk
INSP00074,Street Vendor,Expired Product,6324,2024-11-21,High Risk
INSP00075,Restaurant,Poor Hygiene,3896,2024-03-24,Medium Risk
INSP00076,Street Vendor,No License,4820,2024-12-27,High Risk
INSP00077,Retail,Poor Hygiene,4411,2025-07-29,Medium Risk
INSP00078,Street Vendor,No License,5362,2025-03-07,High Risk
INSP00079,Restaurant,No License,7481,2025-05-26,High Risk
INSP00080,Retail,Expired Product,1824,2024-02-02,High Risk
INSP00081,Restaurant,Poor Hygiene,3140,2024-02-11,Medium Risk
INSP00082,Retail,Expired Product,8132,2024-06-24,High Risk
INSP00083,Retail,No License,5517,2024-01-05,High Risk
INSP00084,Restaurant,Poor Hygiene,6504,2024-04-01,Medium Risk
INSP00085,Street Vendor,Expired Product,8216,2025-06-19,High Risk
INSP00086,Restaurant,Poor Hygiene,3927,2025-09-17,Medium Risk
INSP00087,Restaurant,Expired Product,4060,2024-11-02,High Risk
INSP00088,Restaurant,No License,5229,2025-09-20,High Risk
INSP00089,Retail,Expired Product,2163,2025-05-10,High Risk
INSP00090,Street Vendor,Poor Hygiene,8392,2025-05-27,Medium Risk
INSP00091,Retail,No License,7250,2024-12-05,High Risk
INSP00092,Retail,No License,2792,2025-04-07,High Risk
INSP00093,Retail,No License,3082,2025-03-28,High Risk
INSP00094,Retail,No License,9518,2024-10-08,High Risk
INSP00095,Retail,Expired Product,4727,2024-08-25,High Risk
INSP00096,Retail,No License,9851,2025-03-23,High Risk
INSP00097,Retail,No License,1741,2024-12-18,High Risk
INSP00098,Street Vendor,No License,962,2024-11-02,High Risk
INSP00099,Street Vendor,No License,7617,2024-05-26,High Risk
INSP00100,Restaurant,Poor Hygiene,7059,2025-04-25,Medium Risk
INSP00101,Restaurant,No License,729,2024-04-25,High Risk
INSP00102,Restaurant,Expired Product,2969,2025-09-07,High Risk
INSP00103,Restaurant,No License,4998,2024-11-14,High Risk
INSP00104,Retail,Expired Product,2557,2024-11-16,High Risk
INSP00105,Restaurant,Expired Product,5806,2025-08-17,High Risk
INSP00106,Restaurant,No License,8321,2024-06-14,High Risk
INSP00107,Street Vendor,Expired Product,8250,2024-05-12,High Risk
INSP00108,Retail,Expired Product,4292,2025-11-07,High Risk
INSP00109,Retail,Poor Hygiene,3180,2024-05-23,Medium Risk
INSP00110,Street Vendor,Expired Product,2426,2024-07-30,High Risk
INSP00111,Retail,No License,6675,2024-07-16,High Risk
INSP00112,Street Vendor,No License,4866,2025-07-11,High Risk
INSP00113,Restaurant,Poor Hygiene,4833,2025-12-05,Medium Risk
INSP00114,Retail,Poor Hygiene,1510,2025-01-17,Medium Risk
INSP00115,Restaurant,No License,9221,2024-10-21,High Risk
INSP00116,Retail,No License,5023,2025-10-15,High Risk
INSP00117,Street Vendor,Expired Product,3402,2025-01-14,High Risk
INSP00118,Restaurant,No License,7696,2024-10-29,High Risk
INSP00119,Restaurant,Poor Hygiene,6082,2025-11-26,Medium Risk
INSP00120,Restaurant,Poor Hygiene,4037,2025-02-02,Medium Risk
INSP00121,Retail,No License,852,2024-10-20,High Risk
INSP00122,Restaurant,Expired Product,2770,2025-11-10,High Risk
INSP00123,Restaurant,Poor Hygiene,5926,2024-02-19,Medium Risk
INSP00124,Restaurant,Expired Product,4496,2025-07-01,High Risk
INSP00125,Street Vendor,Poor Hygiene,5108,2024-09-19,Medium Risk
INSP00126,Street Vendor,Poor Hygiene,2121,2025-12-29,Medium Risk
INSP00127,Street Vendor,No License,7106,2025-05-14,High Risk
INSP00128,Restaurant,No License,5175,2024-10-29,High Risk
INSP00129,Restaurant,Poor Hygiene,5164,2024-06-02,Medium Risk
INSP00130,Street Vendor,Expired Product,8660,2024-12-19,High Risk
INSP00131,Restaurant,No License,9043,2024-01-23,High Risk
INSP00132,Retail,No License,3212,2024-02-02,High Risk
INSP00133,Restaurant,Poor Hygiene,5951,2025-05-05,Medium Risk
INSP00134,Street Vendor,Expired Product,8890,2024-04-14,High Risk
INSP00135,Retail,No License,4747,2025-08-14,High Risk
INSP00136,Street Vendor,Poor Hygiene,7759,2025-10-25,Medium Risk
INSP00137,Restaurant,Poor Hygiene,3842,2024-04-19,Medium Risk
INSP00138,Retail,No License,9955,2024-09-29,High Risk
INSP00139,Retail,Poor Hygiene,1168,2024-02-24,Medium Risk
INSP00140,Street Vendor,Expired Product,5599,2024-04-09,High Risk
INSP00141,Street Vendor,Poor Hygiene,4983,2024-08-14,Medium Risk
INSP00142,Street Vendor,Poor Hygiene,3793,2024-04-29,Medium Risk
INSP00143,Restaurant,Poor Hygiene,5657,2024-06-04,Medium Risk
INSP00144,Restaurant,Poor Hygiene,6376,2025-07-03,Medium Risk
INSP00145,Retail,Poor Hygiene,4736,2025-05-10,Medium Risk
INSP00146,Restaurant,Expired Product,6882,2024-03-03,High Risk
INSP00147,Restaurant,No License,8798,2025-04-30,High Risk
INSP00148,Restaurant,Poor Hygiene,2026,2025-03-10,Medium Risk
INSP00149,Retail,Expired Product,7062,2024-06-22,High Risk
INSP00150,Street Vendor,Poor Hygiene,3677,2024-07-23,Medium Risk
INSP00151,Street Vendor,Poor Hygiene,3748,2025-04-28,Medium Risk
INSP00152,Restaurant,Expired Product,6941,2024-11-01,High Risk
INSP00153,Restaurant,Expired Product,8464,2025-01-19,High Risk
INSP00154,Street Vendor,No License,8877,2025-04-27,High Risk
INSP00155,Restaurant,Expired Product,4717,2025-09-09,High Risk
INSP00156,Restaurant,No License,2026,2025-11-30,High Risk
INSP00157,Restaurant,No License,7816,2024-01-06,High Risk
INSP00158,Restaurant,Poor Hygiene,1838,2025-07-15,Medium Risk
INSP00159,Street Vendor,Poor Hygiene,1801,2024-04-10,Medium Risk
INSP00160,Retail,No License,5257,2024-09-14,High Risk
INSP00161,Retail,Expired Product,3446,2024-05-09,High Risk
INSP00162,Restaurant,Poor Hygiene,8974,2025-11-01,Medium Risk
INSP00163,Restaurant,Poor Hygiene,9195,2025-10-08,Medium Risk
INSP00164,Retail,Expired Product,2003,2025-01-08,High Risk
INSP00165,Retail,Poor Hygiene,3002,2025-05-22,Medium Risk
INSP00166,Restaurant,Expired Product,2043,2024-12-03,High Risk
INSP00167,Restaurant,Poor Hygiene,5662,2024-02-19,Medium Risk
INSP00168,Restaurant,Expired Product,8863,2025-07-12,High Risk
INSP00169,Retail,Expired Product,4495,2025-08-28,High Risk
INSP00170,Retail,No License,623,2024-06-24,High Risk
INSP00171,Restaurant,Expired Product,7047,2025-01-14,High Risk
INSP00172,Restaurant,No License,9420,2025-07-14,High Risk
INSP00173,Restaurant,No License,4627,2024-12-02,High Risk
INSP00174,Restaurant,Expired Product,6043,2025-10-24,High Risk
INSP00175,Retail,Expired Product,1102,2025-09-14,High Risk
INSP00176,Retail,Expired Product,2236,2025-01-19,High Risk
INSP00177,Restaurant,No License,9230,2024-03-06,High Risk
INSP00178,Restaurant,Poor Hygiene,9677,2025-12-15,Medium Risk
INSP00179,Restaurant,Poor Hygiene,7951,2025-05-01,Medium Risk
INSP00180,Restaurant,Expired Product,8868,2025-04-27,High Risk
INSP00181,Street Vendor,No License,6944,2025-10-14,High Risk
INSP00182,Restaurant,Poor Hygiene,7897,2024-08-08,Medium Risk
INSP00183,Street Vendor,Poor Hygiene,6935,2024-07-13,Medium Risk
INSP00184,Street Vendor,Expired Product,8495,2025-01-21,High Risk
INSP00185,Street Vendor,Poor Hygiene,4130,2025-10-26,Medium Risk
INSP00186,Restaurant,Poor Hygiene,9479,2025-08-07,Medium Risk
INSP00187,Retail,Poor Hygiene,6627,2025-06-14,Medium Risk
INSP00188,Street Vendor,Expired Product,5275,2025-01-20,High Risk
INSP00189,Restaurant,Poor Hygiene,7787,2024-07-09,Medium Risk
INSP00190,Street Vendor,No License,5543,2025-03-05,High Risk
INSP00191,Retail,No License,6314,2025-09-21,High Risk
INSP00192,Retail,Poor Hygiene,4555,2025-03-23,Medium Risk
INSP00193,Street Vendor,Poor Hygiene,8694,2024-10-03,Medium Risk
INSP00194,Street Vendor,No License,4699,2025-06-06,High Risk
INSP00195,Street Vendor,No License,1027,2024-12-12,High Risk
INSP00196,Restaurant,Poor Hygiene,6734,2025-12-31,Medium Risk
INSP00197,Restaurant,Poor Hygiene,4775,2024-10-11,Medium Risk
INSP00198,Retail,No License,6545,2025-08-09,High Risk
INSP00199,Restaurant,No License,5000,2024-08-29,High Risk
INSP00200,Retail,Expired Product,991,2024-02-27,High Risk
INSP00201,Restaurant,No License,9081,2025-02-15,High Risk
INSP00202,Street Vendor,Poor Hygiene,4485,2024-03-05,Medium Risk
INSP00203,Restaurant,Poor Hygiene,1150,2025-02-11,Medium Risk
INSP00204,Restaurant,Expired Product,998,2025-12-23,High Risk
INSP00205,Restaurant,No License,9011,2024-06-27,High Risk
INSP00206,Street Vendor,Poor Hygiene,9189,2024-11-10,Medium Risk
INSP00207,Street Vendor,No License,2886,2024-04-25,High Risk
INSP00208,Retail,Expired Product,579,2025-06-06,High Risk
INSP00209,Street Vendor,No License,1151,2025-08-27,High Risk
INSP00210,Restaurant,No License,5831,2025-12-30,High Risk
INSP00211,Street Vendor,Expired Product,740,2025-08-12,High Risk
INSP00212,Restaurant,Expired Product,5034,2024-01-08,High Risk
INSP00213,Street Vendor,No License,4111,2025-02-04,High Risk
INSP00214,Retail,Poor Hygiene,9421,2024-06-14,Medium Risk
INSP00215,Retail,Expired Product,2395,2024-06-17,High Risk
INSP00216,Street Vendor,No License,9273,2024-04-23,High Risk
INSP00217,Retail,Poor Hygiene,6711,2024-08-30,Medium Risk
INSP00218,Street Vendor,Expired Product,9506,2025-12-09,High Risk
INSP00219,Restaurant,No License,7258,2024-10-05,High Risk
INSP00220,Street Vendor,Expired Product,6678,2025-07-31,High Risk
INSP00221,Retail,Expired Product,3476,2025-06-28,High Risk
INSP00222,Retail,Expired Product,6334,2025-06-29,High Risk
INSP00223,Restaurant,Expired Product,3732,2024-05-02,High Risk
INSP00224,Retail,No License,1348,2025-03-29,High Risk
INSP00225,Street Vendor,Poor Hygiene,2817,2024-08-23,Medium Risk
INSP00226,Restaurant,Expired Product,5883,2025-06-09,High Risk
INSP00227,Restaurant,Expired Product,2800,2024-08-15,High Risk
INSP00228,Restaurant,No License,8515,2024-01-10,High Risk
INSP00229,Retail,Poor Hygiene,5628,2024-06-26,Medium Risk
INSP00230,Restaurant,No License,1294,2025-07-24,High Risk
INSP00231,Retail,Poor Hygiene,4364,2024-10-05,Medium Risk
INSP00232,Street Vendor,Poor Hygiene,2013,2025-11-27,Medium Risk
INSP00233,Street Vendor,Poor Hygiene,1775,2025-09-16,Medium Risk
INSP00234,Retail,Expired Product,2940,2024-11-12,High Risk
INSP00235,Retail,No License,3262,2024-10-18,High Risk
INSP00236,Retail,No License,4047,2025-08-09,High Risk
INSP00237,Restaurant,Poor Hygiene,2246,2024-03-07,Medium Risk
INSP00238,Street Vendor,No License,8761,2025-09-09,High Risk
INSP00239,Restaurant,Poor Hygiene,4741,2025-11-21,Medium Risk
INSP00240,Street Vendor,Poor Hygiene,8400,2025-01-06,Medium Risk
INSP00241,Street Vendor,Expired Product,7994,2025-08-14,High Risk
INSP00242,Retail,Expired Product,1893,2024-07-19,High Risk
INSP00243,Restaurant,Expired Product,7458,2025-05-13,High Risk
INSP00244,Retail,Expired Product,2433,2024-01-04,High Risk
INSP00245,Retail,Expired Product,1831,2025-03-26,High Risk
INSP00246,Street Vendor,Expired Product,5063,2024-09-07,High Risk
INSP00247,Restaurant,No License,7808,2025-08-26,High Risk
INSP00248,Retail,No License,9744,2025-09-24,High Risk
INSP00249,Retail,Poor Hygiene,4652,2024-04-14,Medium Risk
INSP00250,Street Vendor,Expired Product,1884,2025-08-18,High Risk
INSP00251,Street Vendor,No License,9825,2024-04-26,High Risk
INSP00252,Retail,Poor Hygiene,2809,2025-01-23,Medium Risk
INSP00253,Street Vendor,No License,8641,2024-04-21,High Risk
INSP00254,Retail,No License,8030,2024-07-18,High Risk
INSP00255,Retail,Expired Product,9697,2025-10-01,High Risk
INSP00256,Retail,No License,3601,2025-02-02,High Risk
INSP00257,Retail,Poor Hygiene,1982,2025-03-29,Medium Risk
INSP00258,Street Vendor,No License,624,2024-02-06,High Risk
INSP00259,Retail,No License,8372,2025-03-04,High Risk
INSP00260,Street Vendor,Expired Product,8013,2025-08-15,High Risk
INSP00261,Restaurant,Poor Hygiene,8204,2025-10-07,Medium Risk
INSP00262,Street Vendor,No License,1099,2024-10-29,High Risk
INSP00263,Restaurant,Poor Hygiene,1916,2025-07-18,Medium Risk
INSP00264,Street Vendor,No License,7477,2025-06-29,High Risk
INSP00265,Street Vendor,Poor Hygiene,5468,2025-09-18,Medium Risk
INSP00266,Retail,No License,1280,2025-10-12,High Risk
INSP00267,Street Vendor,Expired Product,1009,2024-07-05,High Risk
INSP00268,Restaurant,No License,3538,2024-05-05,High Risk
INSP00269,Street Vendor,Poor Hygiene,6676,2025-09-21,Medium Risk
INSP00270,Restaurant,Poor Hygiene,2182,2024-08-21,Medium Risk
INSP00271,Street Vendor,Expired Product,2971,2024-07-08,High Risk
INSP00272,Retail,No License,898,2025-08-15,High Risk
INSP00273,Street Vendor,Expired Product,2531,2025-01-11,High Risk
INSP00274,Restaurant,No License,3810,2024-04-02,High Risk
INSP00275,Restaurant,Poor Hygiene,2783,2024-11-14,Medium Risk
INSP00276,Retail,No License,4576,2024-03-21,High Risk
INSP00277,Street Vendor,No License,6384,2025-05-22,High Risk
INSP00278,Street Vendor,Poor Hygiene,8788,2025-09-19,Medium Risk
INSP00279,Restaurant,No License,7650,2024-04-11,High Risk
INSP00280,Retail,Expired Product,2857,2025-11-08,High Risk
INSP00281,Retail,No License,6113,2024-10-30,High Risk
INSP00282,Restaurant,Poor Hygiene,2215,2025-12-06,Medium Risk
INSP00283,Street Vendor,Poor Hygiene,1320,2024-04-23,Medium Risk
INSP00284,Street Vendor,Expired Product,3364,2024-09-24,High Risk
INSP00285,Restaurant,No License,9792,2025-12-09,High Risk
INSP00286,Restaurant,Poor Hygiene,1291,2024-05-28,Medium Risk
INSP00287,Restaurant,No License,2892,2025-06-12,High Risk
INSP00288,Retail,Expired Product,8290,2025-12-10,High Risk
INSP00289,Street Vendor,No License,8907,2025-02-01,High Risk
INSP00290,Street Vendor,Expired Product,1295,2024-07-04,High Risk
INSP00291,Retail,Expired Product,2251,2024-07-10,High Risk
INSP00292,Restaurant,Expired Product,1133,2024-03-02,High Risk
INSP00293,Street Vendor,Poor Hygiene,6142,2024-05-28,Medium Risk
INSP00294,Street Vendor,Poor Hygiene,2335,2024-02-19,Medium Risk
INSP00295,Street Vendor,Poor Hygiene,7923,2024-09-26,Medium Risk
INSP00296,Restaurant,Poor Hygiene,3148,2025-11-08,Medium Risk
INSP00297,Retail,No License,647,2025-05-30,High Risk
INSP00298,Street Vendor,Expired Product,564,2025-08-07,High Risk
INSP00299,Retail,No License,8598,2025-05-17,High Risk
INSP00300,Street Vendor,Expired Product,3249,2024-08-09,High Risk
INSP00301,Street Vendor,No License,3409,2025-01-28,High Risk
INSP00302,Street Vendor,Poor Hygiene,9538,2024-05-24,Medium Risk
INSP00303,Restaurant,No License,3074,2025-04-27,High Risk
INSP00304,Restaurant,No License,9871,2024-04-07,High Risk
INSP00305,Retail,No License,3601,2024-03-19,High Risk
INSP00306,Street Vendor,Expired Product,9012,2025-05-20,High Risk
INSP00307,Restaurant,No License,7950,2025-05-02,High Risk
INSP00308,Restaurant,Poor Hygiene,2764,2025-07-17,Medium Risk
INSP00309,Street Vendor,No License,7876,2024-12-15,High Risk
INSP00310,Retail,Expired Product,8860,2025-03-25,High Risk
INSP00311,Street Vendor,Expired Product,2004,2024-12-03,High Risk
INSP00312,Retail,Poor Hygiene,7640,2024-07-26,Medium Risk
INSP00313,Retail,No License,5103,2024-04-19,High Risk
INSP00314,Street Vendor,No License,6983,2024-12-09,High Risk
INSP00315,Retail,Poor Hygiene,1912,2025-11-08,Medium Risk
INSP00316,Restaurant,Poor Hygiene,1852,2025-04-28,Medium Risk
INSP00317,Retail,Poor Hygiene,4368,2024-10-16,Medium Risk
INSP00318,Street Vendor,No License,9885,2024-02-16,High Risk
INSP00319,Retail,Poor Hygiene,1179,2024-08-12,Medium Risk
INSP00320,Restaurant,No License,9411,2024-01-16,High Risk
INSP00321,Restaurant,No License,5130,2024-04-27,High Risk
INSP00322,Restaurant,Poor Hygiene,991,2024-05-17,Medium Risk
INSP00323,Restaurant,Expired Product,2428,2024-05-22,High Risk
INSP00324,Restaurant,Poor Hygiene,4595,2025-02-12,Medium Risk
INSP00325,Restaurant,No License,1925,2025-09-24,High Risk
INSP00326,Restaurant,Poor Hygiene,1081,2025-11-07,Medium Risk
INSP00327,Retail,No License,8707,2025-06-19,High Risk
INSP00328,Street Vendor,No License,6667,2025-12-02,High Risk
INSP00329,Street Vendor,No License,1665,2025-01-27,High Risk
INSP00330,Retail,Poor Hygiene,6456,2025-08-23,Medium Risk
INSP00331,Street Vendor,Expired Product,5878,2024-11-28,High Risk
INSP00332,Retail,No License,2260,2024-08-09,High Risk
INSP00333,Retail,Poor Hygiene,9376,2025-12-24,Medium Risk
INSP00334,Street Vendor,Expired Product,4170,2025-04-11,High Risk
INSP00335,Street Vendor,Expired Product,6965,2024-05-09,High Risk
INSP00336,Restaurant,Expired Product,7214,2024-04-21,High Risk
INSP00337,Retail,No License,3916,2025-03-03,High Risk
INSP00338,Restaurant,No License,9475,2024-12-30,High Risk
INSP00339,Restaurant,Poor Hygiene,3354,2024-03-07,Medium Risk
INSP00340,Street Vendor,No License,824,2025-10-11,High Risk
INSP00341,Street Vendor,Poor Hygiene,4972,2025-07-10,Medium Risk
INSP00342,Street Vendor,Expired Product,909,2024-01-01,High Risk
INSP00343,Restaurant,No License,6578,2024-04-18,High Risk
INSP00344,Restaurant,Poor Hygiene,6799,2024-11-15,Medium Risk
INSP00345,Restaurant,Expired Product,1800,2025-04-30,High Risk
INSP00346,Street Vendor,Expired Product,9110,2024-03-19,High Risk
INSP00347,Restaurant,Poor Hygiene,8942,2025-03-17,Medium Risk
INSP00348,Restaurant,Poor Hygiene,7262,2024-06-20,Medium Risk
INSP00349,Restaurant,No License,2723,2025-07-27,High Risk
INSP00350,Street Vendor,Expired Product,2211,2024-09-27,High Risk
INSP00351,Retail,Expired Product,4294,2024-02-19,High Risk
INSP00352,Retail,Expired Product,3983,2025-08-30,High Risk
INSP00353,Street Vendor,No License,9427,2025-09-17,High Risk
INSP00354,Retail,No License,4453,2024-09-02,High Risk
INSP00355,Restaurant,No License,9066,2024-09-11,High Risk
INSP00356,Restaurant,Expired Product,627,2025-12-03,High Risk
INSP00357,Retail,Expired Product,9911,2025-11-23,High Risk
INSP00358,Retail,Expired Product,8483,2025-05-06,High Risk
INSP00359,Street Vendor,Poor Hygiene,4364,2024-09-07,Medium Risk
INSP00360,Retail,No License,2488,2025-07-21,High Risk
INSP00361,Street Vendor,Poor Hygiene,7885,2024-03-21,Medium Risk
INSP00362,Restaurant,Poor Hygiene,543,2024-04-26,Medium Risk
INSP00363,Restaurant,Expired Product,9871,2025-03-27,High Risk
INSP00364,Restaurant,Poor Hygiene,4676,2025-04-22,Medium Risk
INSP00365,Restaurant,Poor Hygiene,5430,2025-10-04,Medium Risk
INSP00366,Street Vendor,No License,8174,2025-02-21,High Risk
INSP00367,Retail,No License,6174,2024-04-17,High Risk
INSP00368,Restaurant,Expired Product,5157,2025-09-10,High Risk
INSP00369,Street Vendor,Poor Hygiene,8935,2025-04-05,Medium Risk
INSP00370,Retail,Expired Product,2534,2025-09-18,High Risk
INSP00371,Retail,Poor Hygiene,3671,2024-05-31,Medium Risk
INSP00372,Retail,No License,3825,2024-03-24,High Risk
INSP00373,Street Vendor,Expired Product,5745,2025-11-13,High Risk
INSP00374,Street Vendor,Expired Product,9888,2024-01-10,High Risk
INSP00375,Restaurant,Poor Hygiene,2142,2025-11-13,Medium Risk
INSP00376,Street Vendor,Poor Hygiene,6385,2025-04-20,Medium Risk
INSP00377,Restaurant,No License,8987,2024-05-25,High Risk
INSP00378,Street Vendor,Expired Product,5466,2025-05-20,High Risk
INSP00379,Retail,Expired Product,5737,2025-02-20,High Risk
INSP00380,Street Vendor,Expired Product,8541,2024-02-10,High Risk
INSP00381,Street Vendor,No License,1479,2025-12-28,High Risk
INSP00382,Street Vendor,No License,9332,2024-10-22,High Risk
INSP00383,Retail,Expired Product,7565,2025-05-31,High Risk
INSP00384,Street Vendor,Expired Product,8901,2024-06-05,High Risk
INSP00385,Retail,Expired Product,3744,2025-11-01,High Risk
INSP00386,Street Vendor,Expired Product,9718,2024-02-08,High Risk
INSP00387,Retail,Poor Hygiene,3226,2025-08-14,Medium Risk
INSP00388,Restaurant,No License,4571,2024-03-20,High Risk
INSP00389,Street Vendor,Expired Product,7270,2025-01-01,High Risk
INSP00390,Restaurant,Expired Product,4758,2025-11-16,High Risk
INSP00391,Restaurant,Expired Product,6325,2025-12-04,High Risk
INSP00392,Retail,No License,6969,2025-11-25,High Risk
INSP00393,Retail,Expired Product,8604,2025-11-28,High Risk
INSP00394,Street Vendor,No License,9781,2024-10-21,High Risk
INSP00395,Retail,Expired Product,1857,2025-09-20,High Risk
INSP00396,Retail,No License,3847,2024-05-30,High Risk
INSP00397,Retail,No License,8283,2024-11-15,High Risk
INSP00398,Street Vendor,Poor Hygiene,8022,2024-06-22,Medium Risk
INSP00399,Retail,No License,2120,2024-10-26,High Risk
INSP00400,Restaurant,Poor Hygiene,1669,2024-12-06,Medium Risk
INSP00401,Street Vendor,Poor Hygiene,7687,2025-11-14,Medium Risk
INSP00402,Retail,Expired Product,4753,2025-06-29,High Risk
INSP00403,Street Vendor,Poor Hygiene,5071,2025-02-01,Medium Risk
INSP00404,Street Vendor,Expired Product,7430,2025-01-19,High Risk
INSP00405,Street Vendor,Poor Hygiene,9428,2024-05-10,Medium Risk
INSP00406,Retail,Poor Hygiene,5428,2024-05-17,Medium Risk
INSP00407,Street Vendor,Poor Hygiene,9692,2025-04-24,Medium Risk
INSP00408,Restaurant,Expired Product,8462,2024-09-20,High Risk
INSP00409,Street Vendor,Poor Hygiene,8441,2025-06-14,Medium Risk
INSP00410,Street Vendor,Poor Hygiene,4262,2025-01-10,Medium Risk
INSP00411,Restaurant,No License,7855,2025-06-14,High Risk
INSP00412,Retail,No License,4447,2024-06-06,High Risk
INSP00413,Retail,Expired Product,8195,2025-07-25,High Risk
INSP00414,Restaurant,Expired Product,7347,2024-01-16,High Risk
INSP00415,Restaurant,Expired Product,4935,2025-02-20,High Risk
INSP00416,Street Vendor,Expired Product,2508,2025-04-08,High Risk
INSP00417,Retail,No License,6179,2024-11-15,High Risk
INSP00418,Retail,Expired Product,2290,2025-06-24,High Risk
INSP00419,Restaurant,Poor Hygiene,3393,2025-11-30,Medium Risk
INSP00420,Restaurant,Poor Hygiene,9671,2025-02-27,Medium Risk
