CaseID,DistrictID,Date,CaseType,PatientCount,SeverityLevel
HC00053,8,6/13/2024,Typhoid,29,3
HC00054,3,12/25/2025,Typhoid,37,1
HC00055,6,4/11/2024,Diarrheal Disease,34,5
HC00056,19,2/20/2024,Typhoid,2,1
HC00057,25,7/20/2024,Food Poisoning,29,5
HC00058,22,9/3/2024,Typhoid,4,4
HC00059,21,8/21/2025,Typhoid,37,3
HC00060,21,11/26/2024,Typhoid,34,2
HC00061,11,3/12/2024,Food Poisoning,6,1
HC00062,26,2/4/2025,Typhoid,1,3
HC00063,19,1/11/2024,Typhoid,34,3
HC00064,23,5/16/2025,Diarrheal Disease,12,3
HC00065,19,5/13/2024,Diarrheal Disease,30,1
HC00066,5,6/25/2025,Typhoid,20,4
HC00067,26,5/21/2024,Typhoid,12,4
HC00068,26,11/7/2024,Diarrheal Disease,22,1
HC00069,6,6/30/2024,Diarrheal Disease,10,4
HC00070,1,11/19/2025,Typhoid,7,5
HC00071,8,6/16/2025,Food Poisoning,3,4
HC00072,11,2/8/2025,Diarrheal Disease,1,5
HC00073,2,10/20/2024,Diarrheal Disease,36,2
HC00074,26,11/8/2024,Food Poisoning,32,1
HC00075,6,11/1/2024,Typhoid,31,1
HC00076,10,1/24/2024,Food Poisoning,9,1
HC00077,26,9/6/2024,Typhoid,28,3
HC00078,2,5/18/2025,Food Poisoning,3,4
HC00079,13,10/6/2024,Diarrheal Disease,5,2
HC00080,18,6/12/2025,Diarrheal Disease,25,2
HC00081,22,2/23/2024,Food Poisoning,37,3
HC00082,23,6/7/2025,Typhoid,10,3
HC00083,16,10/24/2024,Diarrheal Disease,32,2
HC00084,10,4/25/2025,Typhoid,39,2
HC00085,25,11/6/2025,Typhoid,22,3
HC00086,24,4/14/2024,Diarrheal Disease,26,1
HC00087,5,6/19/2024,Diarrheal Disease,16,5
HC00088,8,6/25/2025,Diarrheal Disease,20,1
HC00089,13,11/15/2024,Diarrheal Disease,34,3
HC00090,1,3/19/2025,Diarrheal Disease,8,3
HC00091,25,9/28/2025,Diarrheal Disease,27,5
HC00092,4,12/12/2025,Typhoid,24,4
HC00093,14,9/23/2024,Typhoid,17,4
HC00094,18,12/19/2025,Food Poisoning,8,3
HC00095,7,6/13/2024,Food Poisoning,5,2
HC00096,14,10/8/2025,Diarrheal Disease,12,3
HC00097,10,11/24/2024,Food Poisoning,34,1
HC00098,3,5/7/2024,Diarrheal Disease,17,3
HC00099,7,5/14/2025,Food Poisoning,26,4
HC00100,11,11/19/2024,Typhoid,20,3
HC00101,4,4/22/2025,Diarrheal Disease,21,2
HC00102,22,5/26/2025,Typhoid,25,3
HC00103,9,7/8/2025,Typhoid,21,5
HC00104,7,2/1/2024,Diarrheal Disease,13,3
HC00105,10,9/30/2025,Food Poisoning,22,1
HC00106,8,11/29/2025,Typhoid,37,3
HC00107,8,10/7/2025,Typhoid,13,5
HC00108,7,8/24/2024,Typhoid,10,4
HC00109,12,11/24/2025,Diarrheal Disease,22,5
HC00110,6,3/10/2024,Food Poisoning,11,5
HC00111,4,3/29/2024,Diarrheal Disease,37,5
HC00112,16,2/25/2024,Typhoid,24,3
HC00113,8,3/12/2025,Typhoid,33,4
HC00114,15,9/17/2025,Typhoid,14,2
HC00115,25,4/11/2025,Typhoid,37,5
HC00116,14,5/10/2024,Diarrheal Disease,17,5
HC00117,6,5/23/2025,Diarrheal Disease,19,3
HC00118,24,1/26/2025,Food Poisoning,19,2
HC00119,1,12/8/2025,Food Poisoning,16,2
HC00120,9,5/14/2024,Typhoid,31,5
HC00121,14,6/13/2024,Food Poisoning,2,5
HC00122,8,4/26/2024,Typhoid,23,5
HC00123,16,4/25/2024,Typhoid,11,2
HC00124,6,5/18/2025,Diarrheal Disease,30,3
HC00125,8,4/5/2025,Typhoid,37,1
HC00126,14,3/11/2025,Food Poisoning,19,4
HC00127,16,1/27/2025,Diarrheal Disease,34,5
HC00128,25,10/5/2025,Diarrheal Disease,5,2
HC00129,19,8/16/2025,Food Poisoning,5,5
HC00130,6,7/12/2024,Typhoid,20,5
HC00131,7,4/6/2024,Food Poisoning,25,2
HC00132,6,5/19/2024,Diarrheal Disease,27,2
HC00133,10,6/10/2024,Food Poisoning,21,3
HC00134,1,1/8/2024,Typhoid,20,2
HC00135,17,3/30/2025,Food Poisoning,6,3
HC00136,12,12/15/2024,Diarrheal Disease,22,5
HC00137,15,9/16/2025,Typhoid,8,2
HC00138,13,3/7/2025,Food Poisoning,7,1
HC00139,4,5/13/2024,Food Poisoning,8,3
HC00140,7,7/28/2025,Food Poisoning,4,2
HC00141,16,1/30/2024,Typhoid,5,5
HC00142,16,1/8/2025,Typhoid,6,3
HC00143,8,9/9/2024,Diarrheal Disease,9,2
HC00144,3,5/19/2025,Typhoid,39,4
HC00145,21,7/18/2024,Typhoid,19,1
HC00146,7,7/2/2024,Typhoid,4,2
HC00147,16,5/13/2024,Typhoid,38,3
HC00148,17,9/16/2025,Food Poisoning,28,5
HC00149,4,9/15/2025,Diarrheal Disease,29,2
HC00150,10,12/20/2025,Typhoid,15,5
HC00151,13,1/5/2024,Food Poisoning,27,3
HC00152,17,8/16/2024,Diarrheal Disease,34,4
HC00153,21,4/21/2024,Typhoid,13,3
HC00154,6,11/30/2025,Diarrheal Disease,32,1
HC00155,14,6/2/2024,Diarrheal Disease,18,2
HC00156,20,1/26/2025,Food Poisoning,29,2
HC00157,20,4/9/2024,Food Poisoning,18,3
HC00158,17,7/11/2025,Diarrheal Disease,19,3
HC00159,5,12/15/2025,Food Poisoning,4,5
HC00160,7,8/8/2024,Typhoid,7,3
HC00161,23,7/29/2025,Food Poisoning,17,4
HC00162,26,1/17/2025,Food Poisoning,32,3
HC00163,6,5/16/2025,Typhoid,18,2
HC00164,16,4/27/2025,Food Poisoning,27,2
HC00165,26,7/4/2024,Typhoid,18,1
HC00166,13,4/22/2025,Diarrheal Disease,12,3
HC00167,8,7/20/2025,Diarrheal Disease,11,1
HC00168,6,5/18/2025,Diarrheal Disease,6,5
HC00169,24,11/24/2025,Typhoid,13,3
HC00170,19,1/12/2024,Food Poisoning,7,3
HC00171,17,8/14/2024,Typhoid,11,1
HC00172,8,10/6/2024,Food Poisoning,33,2
HC00173,14,10/25/2024,Diarrheal Disease,38,1
HC00174,4,1/9/2025,Diarrheal Disease,35,5
HC00175,9,4/30/2024,Diarrheal Disease,37,1
HC00176,17,12/16/2024,Food Poisoning,30,5
HC00177,17,2/3/2024,Diarrheal Disease,24,1
HC00178,11,5/25/2025,Typhoid,17,5
HC00179,2,4/24/2024,Food Poisoning,19,5
HC00180,23,2/25/2024,Food Poisoning,18,4
HC00181,21,7/29/2024,Typhoid,15,3
HC00182,23,11/13/2025,Diarrheal Disease,27,2
HC00183,3,10/18/2025,Food Poisoning,13,3
HC00184,24,2/10/2025,Food Poisoning,7,4
HC00185,15,1/26/2025,Food Poisoning,5,2
HC00186,18,8/8/2024,Typhoid,26,1
HC00187,10,5/12/2025,Diarrheal Disease,25,3
HC00188,6,3/4/2025,Typhoid,32,3
HC00189,15,2/1/2024,Typhoid,25,4
HC00190,9,11/3/2024,Typhoid,32,1
HC00191,13,10/25/2024,Diarrheal Disease,31,2
HC00192,5,12/22/2025,Diarrheal Disease,10,3
HC00193,18,5/21/2025,Typhoid,28,4
HC00194,12,6/15/2025,Typhoid,1,1
HC00195,2,1/27/2025,Diarrheal Disease,10,1
HC00196,17,9/9/2024,Typhoid,13,3
HC00197,12,12/24/2025,Diarrheal Disease,3,1
HC00198,3,3/4/2025,Diarrheal Disease,31,2
HC00199,24,9/24/2024,Diarrheal Disease,29,1
HC00200,25,12/31/2024,Diarrheal Disease,27,1
HC00201,13,11/9/2024,Diarrheal Disease,4,3
HC00202,5,4/11/2025,Typhoid,7,3
HC00203,6,7/26/2024,Diarrheal Disease,38,4
HC00204,1,9/12/2024,Typhoid,22,3
HC00205,23,3/23/2025,Food Poisoning,39,2
HC00206,12,8/27/2025,Typhoid,20,2
HC00207,4,2/22/2025,Diarrheal Disease,12,1
HC00208,23,10/3/2024,Food Poisoning,10,5
HC00209,14,2/21/2025,Food Poisoning,16,2
HC00210,18,9/9/2024,Food Poisoning,34,1
HC00211,8,10/23/2024,Food Poisoning,26,2
HC00212,21,5/26/2025,Food Poisoning,29,1
HC00213,23,10/13/2024,Food Poisoning,38,5
HC00214,4,2/5/2024,Diarrheal Disease,34,3
HC00215,6,1/13/2025,Food Poisoning,18,1
HC00216,9,9/8/2025,Typhoid,38,5
HC00217,8,7/16/2024,Typhoid,16,2
HC00218,10,6/14/2025,Typhoid,32,3
HC00219,3,6/30/2024,Food Poisoning,18,5
HC00220,5,6/12/2025,Typhoid,34,4
HC00221,15,4/8/2024,Diarrheal Disease,9,5
HC00222,21,4/10/2025,Food Poisoning,35,3
HC00223,20,8/2/2024,Food Poisoning,31,3
HC00224,11,1/27/2025,Typhoid,10,2
HC00225,25,5/7/2025,Diarrheal Disease,34,2
HC00226,20,8/14/2024,Diarrheal Disease,4,3
HC00227,7,1/31/2024,Food Poisoning,20,3
HC00228,10,8/20/2025,Food Poisoning,18,4
HC00229,23,1/4/2025,Food Poisoning,28,1
HC00230,13,5/11/2024,Food Poisoning,10,3
HC00231,8,10/17/2025,Diarrheal Disease,11,5
HC00232,24,6/14/2024,Typhoid,26,1
HC00233,26,8/24/2025,Typhoid,12,4
HC00234,13,1/31/2024,Typhoid,19,5
HC00235,10,10/28/2024,Diarrheal Disease,21,4
HC00236,20,5/8/2024,Typhoid,21,2
HC00237,4,1/19/2025,Food Poisoning,7,5
HC00238,22,3/29/2024,Food Poisoning,14,2
HC00239,14,8/12/2025,Typhoid,30,4
HC00240,7,11/3/2025,Food Poisoning,18,5
HC00241,3,11/1/2025,Food Poisoning,3,3
HC00242,19,8/24/2025,Diarrheal Disease,19,1
HC00243,4,3/21/2024,Food Poisoning,16,1
HC00244,26,4/8/2024,Food Poisoning,2,5
HC00245,4,10/1/2024,Food Poisoning,22,2
HC00246,8,1/17/2025,Typhoid,3,2
HC00247,24,4/15/2025,Food Poisoning,1,5
HC00248,15,11/12/2025,Diarrheal Disease,18,1
HC00249,15,1/21/2024,Diarrheal Disease,5,1
HC00250,13,11/13/2024,Diarrheal Disease,26,1
HC00251,17,4/22/2024,Diarrheal Disease,7,4
HC00252,20,6/2/2025,Diarrheal Disease,21,3
HC00253,18,9/24/2024,Diarrheal Disease,4,2
HC00254,18,2/11/2025,Typhoid,2,3
HC00255,26,3/2/2024,Typhoid,33,3
HC00256,2,3/9/2024,Food Poisoning,10,1
HC00257,6,8/8/2025,Diarrheal Disease,8,1
HC00258,3,7/18/2024,Typhoid,26,4
HC00259,14,12/11/2024,Food Poisoning,21,5
HC00260,6,8/14/2024,Food Poisoning,20,3
HC00261,4,1/2/2024,Food Poisoning,5,1
HC00262,16,1/3/2025,Food Poisoning,11,5
HC00263,3,5/18/2025,Food Poisoning,27,5
HC00264,4,5/13/2025,Typhoid,32,3
HC00265,13,1/25/2025,Typhoid,21,5
HC00266,18,10/26/2024,Diarrheal Disease,16,2
HC00267,26,1/30/2025,Food Poisoning,14,3
HC00268,8,5/16/2025,Typhoid,20,4
HC00269,24,9/10/2024,Diarrheal Disease,39,5
HC00270,9,12/22/2024,Diarrheal Disease,8,5
HC00271,15,9/19/2025,Diarrheal Disease,15,3
HC00272,24,9/17/2024,Typhoid,38,2
HC00273,20,5/12/2025,Food Poisoning,3,4
HC00274,8,9/8/2024,Food Poisoning,34,2
HC00275,11,8/6/2024,Diarrheal Disease,39,2
HC00276,9,10/1/2024,Typhoid,3,1
HC00277,11,5/24/2024,Diarrheal Disease,37,5
HC00278,20,10/27/2025,Diarrheal Disease,2,1
HC00279,16,11/14/2025,Typhoid,34,3
HC00280,8,1/26/2024,Food Poisoning,3,4
HC00281,10,9/9/2025,Typhoid,28,4
HC00282,25,11/28/2024,Food Poisoning,38,1
HC00283,11,1/19/2024,Diarrheal Disease,19,5
HC00284,8,11/16/2024,Food Poisoning,13,4
HC00285,19,10/17/2025,Typhoid,35,5
HC00286,24,11/13/2025,Food Poisoning,16,2
HC00287,13,12/16/2024,Diarrheal Disease,9,2
HC00288,25,8/3/2025,Food Poisoning,26,1
HC00289,24,2/18/2025,Food Poisoning,31,3
HC00290,15,8/11/2025,Food Poisoning,11,3
HC00291,12,6/28/2025,Diarrheal Disease,39,4
HC00292,17,10/9/2024,Diarrheal Disease,7,1
HC00293,16,3/9/2024,Diarrheal Disease,36,3
HC00294,7,2/2/2024,Typhoid,23,1
HC00295,1,11/8/2025,Food Poisoning,28,5
HC00296,8,2/28/2025,Food Poisoning,26,1
HC00297,18,8/4/2025,Food Poisoning,37,1
HC00298,17,7/17/2025,Diarrheal Disease,32,3
HC00299,25,2/14/2025,Typhoid,17,3
HC00300,8,7/9/2024,Diarrheal Disease,33,5
HC00301,25,3/23/2024,Food Poisoning,2,5
HC00302,6,9/21/2024,Diarrheal Disease,19,5
HC00303,20,8/18/2025,Diarrheal Disease,15,4
HC00304,17,8/7/2025,Diarrheal Disease,8,1
HC00305,11,5/27/2025,Food Poisoning,12,2
HC00306,6,10/1/2025,Diarrheal Disease,13,1
HC00307,1,3/3/2025,Food Poisoning,30,5
HC00308,1,8/1/2025,Food Poisoning,23,3
HC00309,22,8/1/2025,Food Poisoning,25,2
HC00310,23,7/27/2025,Typhoid,28,1
HC00311,2,1/17/2024,Typhoid,18,1
HC00312,22,9/29/2024,Diarrheal Disease,7,5
HC00313,11,12/22/2024,Food Poisoning,4,4
HC00314,23,12/22/2025,Food Poisoning,9,3
HC00315,16,5/23/2024,Food Poisoning,24,1
HC00316,19,8/11/2024,Typhoid,18,5
HC00317,13,3/13/2024,Food Poisoning,37,4
HC00318,6,12/28/2025,Diarrheal Disease,19,3
HC00319,9,3/15/2025,Diarrheal Disease,28,4
HC00320,9,8/12/2024,Food Poisoning,2,1
HC00321,23,11/13/2025,Diarrheal Disease,35,5
HC00322,4,5/7/2024,Food Poisoning,27,5
HC00323,16,2/22/2025,Typhoid,37,5
HC00324,17,12/8/2024,Diarrheal Disease,38,2
HC00325,9,8/6/2025,Food Poisoning,32,3
HC00326,12,5/20/2024,Typhoid,38,1
HC00327,1,2/15/2024,Food Poisoning,11,5
HC00328,17,9/27/2025,Typhoid,1,1
HC00329,15,6/21/2024,Diarrheal Disease,39,5
HC00330,2,7/14/2024,Typhoid,20,4
HC00331,9,8/24/2025,Diarrheal Disease,1,5
HC00332,4,2/25/2024,Diarrheal Disease,6,4
HC00333,11,3/15/2025,Diarrheal Disease,38,2
HC00334,21,8/27/2024,Food Poisoning,37,1
HC00335,4,7/30/2025,Food Poisoning,4,4
HC00336,20,4/7/2025,Diarrheal Disease,25,3
HC00337,18,6/27/2024,Food Poisoning,35,5
HC00338,20,2/15/2025,Food Poisoning,1,4
HC00339,6,3/9/2025,Typhoid,36,4
HC00340,18,5/31/2024,Typhoid,30,3
HC00341,24,5/15/2025,Diarrheal Disease,2,3
HC00342,5,3/22/2025,Diarrheal Disease,3,4
HC00343,13,10/26/2024,Diarrheal Disease,18,2
HC00344,22,10/30/2024,Diarrheal Disease,2,5
HC00345,12,3/8/2025,Food Poisoning,6,4
HC00346,25,4/9/2025,Typhoid,2,5
HC00347,18,5/17/2024,Typhoid,28,4
HC00348,26,8/21/2025,Diarrheal Disease,36,5
HC00349,9,5/4/2024,Typhoid,18,1
HC00350,1,6/9/2024,Diarrheal Disease,23,5
HC00351,23,10/24/2024,Diarrheal Disease,20,5
HC00352,22,7/18/2024,Diarrheal Disease,3,3
HC00353,5,10/20/2024,Food Poisoning,31,2
HC00354,9,3/7/2024,Food Poisoning,39,4
HC00355,24,4/26/2025,Diarrheal Disease,9,4
HC00356,4,9/1/2025,Typhoid,13,4
HC00357,24,9/15/2024,Food Poisoning,37,5
HC00358,24,3/26/2024,Typhoid,12,3
HC00359,9,5/7/2025,Food Poisoning,11,4
HC00360,1,2/18/2025,Diarrheal Disease,10,3
HC00361,3,2/13/2024,Diarrheal Disease,26,3
HC00362,15,3/23/2025,Food Poisoning,7,4
HC00363,23,3/10/2025,Typhoid,13,2
HC00364,23,7/22/2025,Diarrheal Disease,15,5
HC00365,17,8/23/2025,Diarrheal Disease,12,3
HC00366,2,3/8/2024,Food Poisoning,20,1
HC00367,4,1/26/2025,Typhoid,3,4
HC00368,18,3/8/2025,Food Poisoning,39,2
HC00369,3,1/22/2024,Diarrheal Disease,28,4
HC00370,21,2/21/2025,Food Poisoning,13,5
HC00371,15,11/2/2024,Typhoid,37,4
HC00372,5,3/26/2024,Typhoid,39,2
HC00373,7,6/10/2025,Food Poisoning,34,2
HC00374,17,2/14/2024,Diarrheal Disease,16,2
HC00375,20,9/21/2025,Diarrheal Disease,12,2
HC00376,13,7/16/2025,Typhoid,32,5
HC00377,23,3/10/2024,Diarrheal Disease,20,1
HC00378,24,6/20/2025,Food Poisoning,1,3
HC00379,19,7/6/2025,Typhoid,22,4
HC00380,6,3/3/2024,Typhoid,7,5
HC00381,10,1/17/2024,Typhoid,13,4
HC00382,2,9/8/2025,Food Poisoning,9,1
HC00383,3,6/1/2025,Diarrheal Disease,7,5
HC00384,2,10/11/2025,Food Poisoning,7,3
HC00385,13,10/24/2025,Typhoid,15,4
HC00386,14,3/2/2025,Food Poisoning,22,5
HC00387,11,4/28/2025,Food Poisoning,14,1
HC00388,2,5/30/2025,Typhoid,28,1
HC00389,26,7/27/2025,Diarrheal Disease,25,1
HC00390,6,1/30/2024,Diarrheal Disease,9,4
HC00391,8,6/5/2024,Typhoid,21,4
HC00392,15,5/26/2024,Food Poisoning,15,3
HC00393,23,3/7/2024,Diarrheal Disease,3,2
HC00394,15,11/4/2025,Diarrheal Disease,11,4
HC00395,9,3/31/2025,Typhoid,32,2
HC00396,15,1/9/2024,Food Poisoning,12,4
HC00397,23,2/3/2024,Typhoid,17,4
HC00398,23,12/5/2025,Typhoid,3,4
HC00399,6,12/12/2025,Diarrheal Disease,31,4
HC00400,26,11/3/2024,Typhoid,26,4
HC00401,23,8/24/2025,Diarrheal Disease,19,1
HC00402,19,9/3/2025,Diarrheal Disease,26,4
HC00403,7,4/15/2024,Diarrheal Disease,3,4
HC00404,6,8/28/2025,Food Poisoning,31,1
HC00405,14,8/8/2025,Diarrheal Disease,23,1
HC00406,11,5/27/2024,Typhoid,39,1
HC00407,20,1/30/2025,Typhoid,32,1
HC00408,12,11/6/2024,Typhoid,8,4
HC00409,13,9/15/2024,Typhoid,25,3
HC00410,18,2/1/2025,Food Poisoning,8,1
HC00411,1,11/30/2024,Typhoid,20,5
HC00412,14,12/29/2025,Typhoid,13,3
HC00413,21,3/11/2024,Food Poisoning,4,3
HC00414,14,10/28/2024,Food Poisoning,39,2
HC00415,15,10/5/2024,Food Poisoning,5,4
HC00416,11,5/29/2025,Food Poisoning,17,1
HC00417,17,7/21/2024,Food Poisoning,13,3
HC00418,4,5/2/2025,Diarrheal Disease,10,2
HC00419,7,7/29/2025,Diarrheal Disease,10,5
HC00420,8,12/12/2024,Typhoid,24,4
HC00421,17,1/26/2025,Diarrheal Disease,31,4
HC00422,4,6/18/2024,Diarrheal Disease,35,3
HC00423,13,9/24/2024,Typhoid,20,1
HC00424,7,9/6/2025,Typhoid,11,5
HC00425,9,1/18/2024,Typhoid,33,5
HC00426,20,4/30/2024,Typhoid,34,2
HC00427,2,1/22/2025,Typhoid,13,4
HC00428,16,10/1/2025,Food Poisoning,31,5
HC00429,18,4/6/2024,Diarrheal Disease,34,5
HC00430,18,6/28/2025,Typhoid,9,5
HC00431,25,9/29/2024,Food Poisoning,5,4
HC00432,7,5/15/2024,Diarrheal Disease,28,2
HC00433,22,1/29/2025,Food Poisoning,16,3
HC00434,24,7/18/2024,Diarrheal Disease,6,3
HC00435,19,11/9/2025,Typhoid,22,3
HC00436,4,7/3/2025,Diarrheal Disease,9,2
HC00437,21,9/3/2024,Diarrheal Disease,20,3
HC00438,24,4/4/2025,Typhoid,13,5
HC00439,26,4/17/2024,Food Poisoning,18,2
HC00440,8,7/30/2025,Diarrheal Disease,8,2
HC00441,18,1/27/2025,Typhoid,13,2
HC00442,24,7/10/2024,Food Poisoning,20,1
HC00443,18,9/6/2024,Food Poisoning,35,5
HC00444,22,11/1/2025,Food Poisoning,22,3
HC00445,3,1/28/2024,Food Poisoning,13,2
HC00446,25,7/29/2024,Diarrheal Disease,22,5
HC00447,10,8/8/2024,Diarrheal Disease,22,5
HC00448,5,4/14/2025,Food Poisoning,26,2
HC00449,12,9/12/2024,Typhoid,15,4
HC00450,16,12/26/2025,Diarrheal Disease,36,3
HC00451,17,3/28/2024,Diarrheal Disease,33,2
HC00452,9,5/26/2024,Typhoid,35,2
HC00453,17,1/10/2025,Food Poisoning,27,2
HC00454,7,4/21/2025,Typhoid,1,3
HC00455,19,9/14/2025,Food Poisoning,33,4
HC00456,2,5/3/2024,Diarrheal Disease,16,1
HC00457,23,4/20/2024,Food Poisoning,38,3
HC00458,19,11/15/2025,Food Poisoning,20,3
HC00459,13,6/4/2024,Diarrheal Disease,9,1
HC00460,6,9/22/2024,Food Poisoning,4,5
HC00461,1,11/15/2025,Diarrheal Disease,20,3
HC00462,25,4/29/2024,Typhoid,17,5
HC00463,3,5/4/2024,Diarrheal Disease,26,2
HC00464,18,6/23/2024,Diarrheal Disease,23,5
HC00465,26,8/6/2025,Typhoid,10,3
HC00466,21,10/29/2025,Typhoid,24,1
HC00467,6,4/20/2024,Food Poisoning,21,4
HC00468,13,1/21/2025,Typhoid,4,3
HC00469,8,8/26/2024,Typhoid,21,2
HC00470,26,4/1/2025,Typhoid,7,4
HC00471,9,8/3/2025,Diarrheal Disease,5,5
HC00472,16,12/5/2024,Diarrheal Disease,24,1
HC00473,24,5/18/2024,Typhoid,28,1
HC00474,17,4/8/2025,Typhoid,5,5
HC00475,26,2/6/2025,Typhoid,1,4
HC00476,16,12/19/2024,Typhoid,10,3
HC00477,13,5/11/2025,Diarrheal Disease,38,5
HC00478,5,12/11/2024,Typhoid,2,2
HC00479,2,3/31/2024,Food Poisoning,14,2
HC00480,6,4/9/2025,Typhoid,30,4
HC00481,3,12/16/2024,Typhoid,6,5
HC00482,3,1/2/2024,Typhoid,38,3
HC00483,23,11/14/2024,Food Poisoning,14,3
HC00484,2,6/28/2024,Diarrheal Disease,17,2
HC00485,24,6/24/2025,Diarrheal Disease,18,5
HC00486,8,9/27/2024,Typhoid,5,1
HC00487,26,10/24/2024,Diarrheal Disease,34,5
HC00488,9,1/3/2024,Diarrheal Disease,32,3
HC00489,10,1/22/2025,Food Poisoning,2,4
HC00490,15,7/23/2025,Food Poisoning,7,5
HC00491,12,8/9/2024,Typhoid,16,2
HC00492,21,10/27/2025,Typhoid,34,1
HC00493,18,10/23/2024,Food Poisoning,25,4
HC00494,10,1/30/2025,Food Poisoning,25,3
HC00495,22,2/11/2025,Typhoid,1,3
HC00496,9,12/8/2024,Diarrheal Disease,22,3
HC00497,2,12/9/2025,Diarrheal Disease,16,1
HC00498,24,9/25/2025,Typhoid,27,3
HC00499,26,6/7/2025,Diarrheal Disease,26,1
HC00500,16,8/10/2024,Diarrheal Disease,19,3
HC00501,24,7/25/2025,Typhoid,19,4
HC00502,5,4/22/2024,Diarrheal Disease,3,5
HC00503,3,2/25/2024,Diarrheal Disease,14,2
HC00504,2,1/27/2025,Typhoid,19,2
HC00505,22,10/12/2025,Food Poisoning,17,3
HC00506,22,6/4/2025,Diarrheal Disease,32,5
HC00507,10,5/17/2024,Food Poisoning,6,1
HC00508,9,8/22/2024,Food Poisoning,5,1
HC00509,6,12/14/2025,Food Poisoning,21,4
HC00510,18,6/14/2025,Diarrheal Disease,31,5
HC00511,18,6/3/2024,Food Poisoning,36,3
HC00512,10,1/9/2025,Diarrheal Disease,6,3
HC00513,9,2/6/2024,Typhoid,38,2
HC00514,23,4/9/2025,Typhoid,30,4
HC00515,16,10/27/2024,Typhoid,19,5
HC00516,12,4/21/2025,Food Poisoning,16,1
HC00517,4,4/21/2025,Diarrheal Disease,6,3
HC00518,22,2/1/2024,Diarrheal Disease,4,2
HC00519,22,10/14/2024,Food Poisoning,38,4
HC00520,16,3/20/2024,Food Poisoning,31,3
HC00521,21,6/24/2024,Food Poisoning,11,5
HC00522,26,7/28/2024,Food Poisoning,29,2
HC00523,20,12/27/2024,Food Poisoning,3,4
HC00524,11,8/14/2025,Diarrheal Disease,1,2
HC00525,11,12/16/2025,Typhoid,25,2
HC00526,25,6/27/2025,Diarrheal Disease,4,1
HC00527,15,1/11/2024,Typhoid,27,4
HC00528,18,6/14/2024,Diarrheal Disease,4,1
HC00529,12,7/3/2025,Diarrheal Disease,16,4
HC00530,6,6/22/2025,Diarrheal Disease,39,4
HC00531,8,5/20/2024,Diarrheal Disease,30,5
HC00532,19,2/19/2024,Diarrheal Disease,31,2
HC00533,24,2/1/2025,Diarrheal Disease,10,4
HC00534,6,5/26/2024,Diarrheal Disease,4,1
HC00535,23,10/12/2025,Typhoid,21,3
