SampleID,DistrictID,CategoryID,TestResult,AdulterantFound,DateTested
SMP000094,16,6,Fail,Synthetic Color,2024-01-04
SMP000095,21,11,Fail,Urea,2024-01-04
SMP000096,14,9,Pass,None,2024-01-04
SMP000097,15,6,Pass,None,2024-01-04
SMP000098,12,10,Pass,None,2024-01-04
SMP000099,1,16,Fail,Synthetic Color,2024-01-04
SMP000100,3,3,Pass,None,2024-01-04
SMP000101,1,15,Pass,None,2024-01-04
SMP000102,18,1,Pass,None,2024-01-04
SMP000103,8,5,Pass,None,2024-01-04
SMP000104,15,5,Pass,None,2024-01-04
SMP000105,24,10,Fail,Detergent,2024-01-04
SMP000106,7,2,Pass,None,2024-01-04
SMP000107,11,15,Fail,Urea,2024-01-04
SMP000108,21,14,Pass,None,2024-01-04
SMP000109,6,11,Pass,None,2024-01-04
SMP000110,2,7,Pass,None,2024-01-04
SMP000111,8,15,Pass,None,2024-01-05
SMP000112,5,14,Fail,Starch,2024-01-05
SMP000113,24,8,Fail,Starch,2024-01-05
SMP000114,22,12,Pass,None,2024-01-05
SMP000115,17,9,Pass,None,2024-01-05
SMP000116,23,10,Pass,None,2024-01-05
SMP000117,22,5,Pass,None,2024-01-05
SMP000118,5,7,Pass,None,2024-01-05
SMP000119,24,2,Fail,Synthetic Color,2024-01-05
SMP000120,16,5,Fail,Detergent,2024-01-05
SMP000121,22,11,Fail,Synthetic Color,2024-01-05
SMP000122,24,16,Pass,None,2024-01-05
SMP000123,8,16,Pass,None,2024-01-05
SMP000124,3,9,Pass,None,2024-01-05
SMP000125,6,10,Pass,None,2024-01-05
SMP000126,12,3,Pass,None,2024-01-05
SMP000127,22,11,Pass,None,2024-01-05
SMP000128,23,1,Pass,None,2024-01-05
SMP000129,1,5,Pass,None,2024-01-05
SMP000130,15,11,Pass,None,2024-01-05
SMP000131,12,5,Pass,None,2024-01-05
SMP000132,6,1,Fail,Formalin,2024-01-05
SMP000133,4,14,Pass,None,2024-01-05
SMP000134,9,5,Pass,None,2024-01-05
SMP000135,25,1,Pass,None,2024-01-05
SMP000136,9,1,Fail,Formalin,2024-01-05
SMP000137,15,4,Fail,Formalin,2024-01-05
SMP000138,19,3,Fail,Starch,2024-01-06
SMP000139,9,13,Fail,Chalk Powder,2024-01-06
SMP000140,25,5,Pass,None,2024-01-06
SMP000141,25,13,Fail,Formalin,2024-01-06
SMP000142,7,3,Pass,None,2024-01-06
SMP000143,14,8,Pass,None,2024-01-06
SMP000144,8,11,Pass,None,2024-01-06
SMP000145,8,11,Fail,Urea,2024-01-06
SMP000146,2,10,Pass,None,2024-01-06
SMP000147,17,15,Fail,Formalin,2024-01-06
SMP000148,14,4,Fail,Starch,2024-01-06
SMP000149,2,8,Pass,None,2024-01-06
SMP000150,7,15,Pass,None,2024-01-06
SMP000151,24,2,Fail,Urea,2024-01-06
SMP000152,7,1,Pass,None,2024-01-06
SMP000153,5,4,Fail,Detergent,2024-01-06
SMP000154,14,11,Pass,None,2024-01-06
SMP000155,26,4,Pass,None,2024-01-06
SMP000156,7,3,Pass,None,2024-01-06
SMP000157,19,7,Fail,Synthetic Color,2024-01-06
SMP000158,21,10,Pass,None,2024-01-06
SMP000159,6,4,Pass,None,2024-01-06
SMP000160,20,5,Fail,Synthetic Color,2024-01-06
SMP000161,9,10,Pass,None,2024-01-06
SMP000162,17,16,Pass,None,2024-01-06
SMP000163,17,11,Pass,None,2024-01-06
SMP000164,16,13,Pass,None,2024-01-06
SMP000165,3,6,Fail,Chalk Powder,2024-01-06
SMP000166,23,4,Fail,Urea,2024-01-07
SMP000167,9,7,Pass,None,2024-01-07
SMP000168,5,13,Fail,Chalk Powder,2024-01-07
SMP000169,2,7,Pass,None,2024-01-07
SMP000170,17,14,Pass,None,2024-01-07
SMP000171,19,16,Pass,None,2024-01-07
SMP000172,1,1,Pass,None,2024-01-07
SMP000173,15,1,Pass,None,2024-01-07
SMP000174,6,3,Fail,Urea,2024-01-07
SMP000175,18,6,Fail,Chalk Powder,2024-01-07
SMP000176,5,2,Pass,None,2024-01-07
SMP000177,19,15,Pass,None,2024-01-07
SMP000178,10,1,Pass,None,2024-01-07
SMP000179,25,5,Pass,None,2024-01-07
SMP000180,4,3,Pass,None,2024-01-07
SMP000181,9,15,Pass,None,2024-01-07
SMP000182,4,11,Fail,Synthetic Color,2024-01-07
SMP000183,24,15,Pass,None,2024-01-07
SMP000184,23,16,Pass,None,2024-01-07
SMP000185,7,8,Pass,None,2024-01-07
SMP000186,18,4,Fail,Synthetic Color,2024-01-07
SMP000187,22,3,Pass,None,2024-01-07
SMP000188,16,4,Pass,None,2024-01-07
SMP000189,16,12,Fail,Urea,2024-01-07
SMP000190,7,1,Pass,None,2024-01-07
SMP000191,3,1,Pass,None,2024-01-07
SMP000192,24,10,Pass,None,2024-01-07
SMP000193,24,11,Pass,None,2024-01-08
SMP000194,17,11,Fail,Synthetic Color,2024-01-08
SMP000195,9,6,Pass,None,2024-01-08
SMP000196,9,13,Fail,Chalk Powder,2024-01-08
SMP000197,19,9,Pass,None,2024-01-08
SMP000198,24,2,Fail,Detergent,2024-01-08
SMP000199,24,13,Pass,None,2024-01-08
SMP000200,22,16,Fail,Formalin,2024-01-08
SMP000201,18,1,Fail,Chalk Powder,2024-01-08
SMP000202,3,6,Pass,None,2024-01-08
SMP000203,5,8,Pass,None,2024-01-08
SMP000204,24,3,Pass,None,2024-01-08
SMP000205,17,15,Fail,Formalin,2024-01-08
SMP000206,1,5,Pass,None,2024-01-08
SMP000207,3,13,Pass,None,2024-01-08
SMP000208,18,11,Pass,None,2024-01-08
SMP000209,1,10,Pass,None,2024-01-08
SMP000210,5,3,Fail,Detergent,2024-01-08
SMP000211,16,4,Fail,Formalin,2024-01-08
SMP000212,19,1,Pass,None,2024-01-08
SMP000213,18,4,Pass,None,2024-01-08
SMP000214,6,5,Pass,None,2024-01-08
SMP000215,19,14,Pass,None,2024-01-08
SMP000216,6,6,Pass,None,2024-01-08
SMP000217,9,12,Pass,None,2024-01-08
SMP000218,21,7,Pass,None,2024-01-08
SMP000219,18,13,Pass,None,2024-01-08
SMP000220,23,16,Fail,Formalin,2024-01-08
SMP000221,18,4,Fail,Formalin,2024-01-09
SMP000222,16,14,Pass,None,2024-01-09
SMP000223,3,10,Pass,None,2024-01-09
SMP000224,9,14,Fail,Starch,2024-01-09
SMP000225,7,11,Fail,Chalk Powder,2024-01-09
SMP000226,7,6,Pass,None,2024-01-09
SMP000227,25,4,Fail,Chalk Powder,2024-01-09
SMP000228,10,1,Pass,None,2024-01-09
SMP000229,24,9,Pass,None,2024-01-09
SMP000230,17,16,Pass,None,2024-01-09
SMP000231,22,12,Pass,None,2024-01-09
SMP000232,14,5,Fail,Detergent,2024-01-09
SMP000233,17,14,Pass,None,2024-01-09
SMP000234,14,13,Fail,Chalk Powder,2024-01-09
SMP000235,5,5,Pass,None,2024-01-09
SMP000236,19,1,Pass,None,2024-01-09
SMP000237,7,2,Fail,Synthetic Color,2024-01-09
SMP000238,1,15,Fail,Urea,2024-01-09
SMP000239,18,14,Fail,Detergent,2024-01-09
SMP000240,5,5,Pass,None,2024-01-09
SMP000241,25,5,Fail,Detergent,2024-01-09
SMP000242,25,13,Pass,None,2024-01-09
SMP000243,24,16,Pass,None,2024-01-09
SMP000244,9,13,Pass,None,2024-01-09
SMP000245,1,10,Pass,None,2024-01-09
SMP000246,24,4,Fail,Chalk Powder,2024-01-09
SMP000247,12,8,Pass,None,2024-01-09
SMP000248,25,4,Fail,Starch,2024-01-10
SMP000249,25,13,Fail,Starch,2024-01-10
SMP000250,23,6,Pass,None,2024-01-10
SMP000251,8,14,Pass,None,2024-01-10
SMP000252,10,6,Fail,Formalin,2024-01-10
SMP000253,23,14,Pass,None,2024-01-10
SMP000254,8,5,Pass,None,2024-01-10
SMP000255,5,7,Pass,None,2024-01-10
SMP000256,16,10,Pass,None,2024-01-10
SMP000257,25,1,Pass,None,2024-01-10
SMP000258,19,16,Pass,None,2024-01-10
SMP000259,16,9,Pass,None,2024-01-10
SMP000260,3,8,Pass,None,2024-01-10
SMP000261,17,14,Pass,None,2024-01-10
SMP000262,26,15,Pass,None,2024-01-10
SMP000263,4,8,Fail,Starch,2024-01-10
SMP000264,15,15,Fail,Synthetic Color,2024-01-10
SMP000265,23,1,Fail,Synthetic Color,2024-01-10
SMP000266,21,2,Pass,None,2024-01-10
SMP000267,19,10,Fail,Formalin,2024-01-10
SMP000268,19,5,Fail,Starch,2024-01-10
SMP000269,9,7,Pass,None,2024-01-10
SMP000270,8,5,Pass,None,2024-01-10
SMP000271,22,6,Pass,None,2024-01-10
SMP000272,22,14,Pass,None,2024-01-10
SMP000273,23,10,Pass,None,2024-01-10
SMP000274,24,16,Pass,None,2024-01-10
SMP000275,15,13,Pass,None,2024-01-11
SMP000276,14,4,Pass,None,2024-01-11
SMP000277,22,4,Pass,None,2024-01-11
SMP000278,18,5,Pass,None,2024-01-11
SMP000279,19,14,Pass,None,2024-01-11
SMP000280,22,1,Pass,None,2024-01-11
SMP000281,24,4,Pass,None,2024-01-11
SMP000282,9,15,Pass,None,2024-01-11
SMP000283,9,11,Pass,None,2024-01-11
SMP000284,3,4,Pass,None,2024-01-11
SMP000285,17,4,Pass,None,2024-01-11
SMP000286,2,14,Pass,None,2024-01-11
SMP000287,13,15,Pass,None,2024-01-11
SMP000288,16,4,Pass,None,2024-01-11
SMP000289,8,6,Fail,Formalin,2024-01-11
SMP000290,17,14,Fail,Urea,2024-01-11
SMP000291,1,13,Pass,None,2024-01-11
SMP000292,2,13,Pass,None,2024-01-11
SMP000293,22,8,Pass,None,2024-01-11
SMP000294,9,15,Pass,None,2024-01-11
SMP000295,4,5,Pass,None,2024-01-11
SMP000296,15,3,Pass,None,2024-01-11
SMP000297,21,12,Pass,None,2024-01-11
SMP000298,6,9,Pass,None,2024-01-11
SMP000299,17,14,Fail,Starch,2024-01-11
SMP000300,3,2,Pass,None,2024-01-11
SMP000301,2,14,Pass,None,2024-01-11
SMP000302,16,5,Pass,None,2024-01-11
SMP000303,16,11,Pass,None,2024-01-12
SMP000304,18,1,Pass,None,2024-01-12
SMP000305,20,10,Pass,None,2024-01-12
SMP000306,25,12,Fail,Starch,2024-01-12
SMP000307,15,6,Pass,None,2024-01-12
SMP000308,9,4,Fail,Starch,2024-01-12
SMP000309,22,9,Pass,None,2024-01-12
SMP000310,7,14,Pass,None,2024-01-12
SMP000311,12,5,Pass,None,2024-01-12
SMP000312,2,4,Pass,None,2024-01-12
SMP000313,1,4,Fail,Starch,2024-01-12
SMP000314,25,16,Fail,Synthetic Color,2024-01-12
SMP000315,23,5,Pass,None,2024-01-12
SMP000316,19,1,Pass,None,2024-01-12
SMP000317,11,13,Fail,Chalk Powder,2024-01-12
SMP000318,5,12,Fail,Formalin,2024-01-12
SMP000319,5,2,Pass,None,2024-01-12
SMP000320,7,16,Fail,Synthetic Color,2024-01-12
SMP000321,16,10,Fail,Formalin,2024-01-12
SMP000322,19,8,Pass,None,2024-01-12
SMP000323,18,6,Pass,None,2024-01-12
SMP000324,7,15,Pass,None,2024-01-12
SMP000325,25,4,Pass,None,2024-01-12
SMP000326,20,5,Pass,None,2024-01-12
SMP000327,16,2,Pass,None,2024-01-12
SMP000328,17,13,Fail,Urea,2024-01-12
SMP000329,12,10,Pass,None,2024-01-12
SMP000330,7,10,Fail,Starch,2024-01-13
SMP000331,9,4,Pass,None,2024-01-13
SMP000332,21,11,Pass,None,2024-01-13
SMP000333,1,13,Pass,None,2024-01-13
SMP000334,4,5,Pass,None,2024-01-13
SMP000335,2,13,Pass,None,2024-01-13
SMP000336,2,5,Pass,None,2024-01-13
SMP000337,23,12,Pass,None,2024-01-13
SMP000338,19,1,Fail,Detergent,2024-01-13
SMP000339,13,9,Pass,None,2024-01-13
SMP000340,3,16,Pass,None,2024-01-13
SMP000341,14,16,Fail,Synthetic Color,2024-01-13
SMP000342,13,5,Fail,Chalk Powder,2024-01-13
SMP000343,5,7,Pass,None,2024-01-13
SMP000344,12,1,Pass,None,2024-01-13
SMP000345,10,15,Fail,Detergent,2024-01-13
SMP000346,17,9,Pass,None,2024-01-13
SMP000347,18,6,Pass,None,2024-01-13
SMP000348,2,2,Pass,None,2024-01-13
SMP000349,9,16,Pass,None,2024-01-13
SMP000350,17,9,Pass,None,2024-01-13
SMP000351,14,5,Pass,None,2024-01-13
SMP000352,23,5,Pass,None,2024-01-13
SMP000353,18,4,Fail,Urea,2024-01-13
SMP000354,5,10,Pass,None,2024-01-13
SMP000355,2,15,Pass,None,2024-01-13
SMP000356,18,14,Fail,Detergent,2024-01-13
SMP000357,1,7,Pass,None,2024-01-13
SMP000358,17,14,Pass,None,2024-01-14
SMP000359,25,6,Fail,Urea,2024-01-14
SMP000360,17,4,Fail,Synthetic Color,2024-01-14
SMP000361,10,16,Fail,Urea,2024-01-14
SMP000362,18,5,Pass,None,2024-01-14
SMP000363,13,5,Pass,None,2024-01-14
SMP000364,16,16,Pass,None,2024-01-14
SMP000365,25,2,Fail,Synthetic Color,2024-01-14
SMP000366,10,13,Pass,None,2024-01-14
SMP000367,25,16,Fail,Chalk Powder,2024-01-14
SMP000368,24,8,Pass,None,2024-01-14
SMP000369,5,1,Pass,None,2024-01-14
SMP000370,2,6,Fail,Synthetic Color,2024-01-14
SMP000371,3,2,Pass,None,2024-01-14
SMP000372,1,6,Pass,None,2024-01-14
SMP000373,3,13,Pass,None,2024-01-14
SMP000374,19,7,Pass,None,2024-01-14
SMP000375,2,6,Pass,None,2024-01-14
SMP000376,9,9,Pass,None,2024-01-14
SMP000377,23,10,Pass,None,2024-01-14
SMP000378,1,14,Pass,None,2024-01-14
SMP000379,22,5,Pass,None,2024-01-14
SMP000380,8,14,Pass,None,2024-01-14
SMP000381,4,9,Pass,None,2024-01-14
SMP000382,19,5,Pass,None,2024-01-14
SMP000383,17,5,Pass,None,2024-01-14
SMP000384,23,6,Pass,None,2024-01-14
SMP000385,20,10,Pass,None,2024-01-15
SMP000386,22,4,Fail,Detergent,2024-01-15
SMP000387,8,15,Pass,None,2024-01-15
SMP000388,5,9,Pass,None,2024-01-15
SMP000389,21,15,Pass,None,2024-01-15
SMP000390,22,1,Pass,None,2024-01-15
SMP000391,26,5,Pass,None,2024-01-15
SMP000392,11,1,Pass,None,2024-01-15
SMP000393,9,4,Fail,Formalin,2024-01-15
SMP000394,21,14,Fail,Chalk Powder,2024-01-15
SMP000395,9,1,Fail,Formalin,2024-01-15
SMP000396,24,6,Fail,Formalin,2024-01-15
SMP000397,23,2,Pass,None,2024-01-15
SMP000398,12,6,Pass,None,2024-01-15
SMP000399,21,14,Fail,Starch,2024-01-15
SMP000400,21,10,Pass,None,2024-01-15
SMP000401,3,12,Pass,None,2024-01-15
SMP000402,24,5,Fail,Detergent,2024-01-15
SMP000403,15,16,Pass,None,2024-01-15
SMP000404,23,12,Pass,None,2024-01-15
SMP000405,9,6,Fail,Urea,2024-01-15
SMP000406,24,6,Fail,Formalin,2024-01-15
SMP000407,10,15,Pass,None,2024-01-15
SMP000408,1,9,Pass,None,2024-01-15
SMP000409,24,12,Pass,None,2024-01-15
SMP000410,3,6,Pass,None,2024-01-15
SMP000411,9,4,Pass,None,2024-01-15
SMP000412,25,12,Pass,None,2024-01-16
SMP000413,25,10,Pass,None,2024-01-16
SMP000414,17,8,Pass,None,2024-01-16
SMP000415,17,10,Pass,None,2024-01-16
SMP000416,13,4,Fail,Detergent,2024-01-16
SMP000417,8,13,Pass,None,2024-01-16
SMP000418,9,16,Pass,None,2024-01-16
SMP000419,19,15,Pass,None,2024-01-16
SMP000420,21,5,Pass,None,2024-01-16
SMP000421,22,6,Fail,Starch,2024-01-16
SMP000422,22,13,Fail,Detergent,2024-01-16
SMP000423,3,10,Pass,None,2024-01-16
SMP000424,14,9,Pass,None,2024-01-16
SMP000425,2,15,Pass,None,2024-01-16
SMP000426,16,9,Fail,Urea,2024-01-16
SMP000427,12,8,Pass,None,2024-01-16
SMP000428,24,1,Fail,Formalin,2024-01-16
SMP000429,9,1,Pass,None,2024-01-16
SMP000430,4,1,Fail,Urea,2024-01-16
SMP000431,5,15,Pass,None,2024-01-16
SMP000432,21,6,Pass,None,2024-01-16
SMP000433,17,7,Pass,None,2024-01-16
SMP000434,3,14,Pass,None,2024-01-16
SMP000435,3,10,Pass,None,2024-01-16
SMP000436,19,10,Pass,None,2024-01-16
SMP000437,2,5,Pass,None,2024-01-16
SMP000438,22,14,Pass,None,2024-01-16
SMP000439,19,3,Pass,None,2024-01-16
SMP000440,3,1,Pass,None,2024-01-17
SMP000441,3,3,Pass,None,2024-01-17
SMP000442,26,4,Fail,Starch,2024-01-17
SMP000443,9,5,Pass,None,2024-01-17
SMP000444,9,11,Pass,None,2024-01-17
SMP000445,22,4,Pass,None,2024-01-17
SMP000446,25,11,Pass,None,2024-01-17
SMP000447,26,2,Pass,None,2024-01-17
SMP000448,21,3,Pass,None,2024-01-17
SMP000449,9,8,Fail,Urea,2024-01-17
SMP000450,3,15,Pass,None,2024-01-17
SMP000451,21,14,Pass,None,2024-01-17
SMP000452,16,16,Pass,None,2024-01-17
SMP000453,12,11,Pass,None,2024-01-17
SMP000454,24,11,Pass,None,2024-01-17
SMP000455,3,10,Fail,Chalk Powder,2024-01-17
SMP000456,14,10,Pass,None,2024-01-17
SMP000457,1,3,Pass,None,2024-01-17
SMP000458,13,9,Fail,Starch,2024-01-17
SMP000459,2,6,Fail,Urea,2024-01-17
SMP000460,4,7,Pass,None,2024-01-17
SMP000461,4,8,Fail,Starch,2024-01-17
SMP000462,18,2,Fail,Detergent,2024-01-17
SMP000463,21,5,Pass,None,2024-01-17
SMP000464,17,1,Pass,None,2024-01-17
SMP000465,25,16,Pass,None,2024-01-17
SMP000466,9,2,Pass,None,2024-01-17
SMP000467,8,4,Pass,None,2024-01-18
SMP000468,23,15,Pass,None,2024-01-18
SMP000469,6,8,Pass,None,2024-01-18
SMP000470,25,2,Pass,None,2024-01-18
SMP000471,1,6,Pass,None,2024-01-18
SMP000472,25,2,Pass,None,2024-01-18
SMP000473,2,3,Pass,None,2024-01-18
SMP000474,24,1,Pass,None,2024-01-18
SMP000475,15,7,Pass,None,2024-01-18
SMP000476,26,13,Pass,None,2024-01-18
SMP000477,2,10,Pass,None,2024-01-18
SMP000478,16,10,Fail,Detergent,2024-01-18
SMP000479,25,3,Pass,None,2024-01-18
SMP000480,15,5,Pass,None,2024-01-18
SMP000481,17,14,Pass,None,2024-01-18
SMP000482,19,2,Pass,None,2024-01-18
SMP000483,13,14,Pass,None,2024-01-18
SMP000484,17,8,Pass,None,2024-01-18
SMP000485,17,14,Pass,None,2024-01-18
SMP000486,24,5,Pass,None,2024-01-18
SMP000487,2,5,Pass,None,2024-01-18
SMP000488,7,12,Pass,None,2024-01-18
SMP000489,25,13,Pass,None,2024-01-18
SMP000490,24,4,Pass,None,2024-01-18
SMP000491,13,16,Pass,None,2024-01-18
SMP000492,17,2,Fail,Detergent,2024-01-18
SMP000493,7,1,Pass,None,2024-01-18
SMP000494,5,10,Pass,None,2024-01-18
SMP000495,13,12,Pass,None,2024-01-19
SMP000496,9,16,Pass,None,2024-01-19
SMP000497,17,6,Fail,Chalk Powder,2024-01-19
SMP000498,2,1,Fail,Chalk Powder,2024-01-19
SMP000499,25,10,Pass,None,2024-01-19
SMP000500,26,5,Fail,Detergent,2024-01-19
SMP000501,19,6,Fail,Urea,2024-01-19
SMP000502,16,8,Pass,None,2024-01-19
SMP000503,8,1,Pass,None,2024-01-19
SMP000504,22,8,Fail,Chalk Powder,2024-01-19
SMP000505,19,6,Fail,Synthetic Color,2024-01-19
SMP000506,5,12,Fail,Starch,2024-01-19
SMP000507,24,11,Fail,Starch,2024-01-19
SMP000508,22,3,Fail,Synthetic Color,2024-01-19
SMP000509,25,4,Pass,None,2024-01-19
SMP000510,19,4,Pass,None,2024-01-19
SMP000511,17,3,Pass,None,2024-01-19
SMP000512,12,11,Pass,None,2024-01-19
SMP000513,24,16,Pass,None,2024-01-19
SMP000514,23,11,Fail,Starch,2024-01-19
SMP000515,2,10,Pass,None,2024-01-19
SMP000516,1,6,Pass,None,2024-01-19
SMP000517,9,5,Pass,None,2024-01-19
SMP000518,22,15,Fail,Starch,2024-01-19
SMP000519,26,16,Fail,Detergent,2024-01-19
SMP000520,5,8,Pass,None,2024-01-19
SMP000521,17,5,Pass,None,2024-01-19
SMP000522,10,13,Pass,None,2024-01-20
SMP000523,25,2,Pass,None,2024-01-20
SMP000524,23,13,Fail,Starch,2024-01-20
SMP000525,23,14,Fail,Starch,2024-01-20
SMP000526,13,2,Pass,None,2024-01-20
SMP000527,12,16,Pass,None,2024-01-20
SMP000528,7,16,Fail,Formalin,2024-01-20
SMP000529,2,16,Pass,None,2024-01-20
SMP000530,23,8,Pass,None,2024-01-20
SMP000531,22,4,Fail,Starch,2024-01-20
SMP000532,26,10,Pass,None,2024-01-20
SMP000533,26,6,Pass,None,2024-01-20
SMP000534,16,4,Pass,None,2024-01-20
SMP000535,21,6,Pass,None,2024-01-20
SMP000536,25,11,Fail,Synthetic Color,2024-01-20
SMP000537,23,1,Pass,None,2024-01-20
SMP000538,7,5,Pass,None,2024-01-20
SMP000539,13,1,Fail,Starch,2024-01-20
SMP000540,4,12,Pass,None,2024-01-20
SMP000541,25,11,Fail,Synthetic Color,2024-01-20
SMP000542,17,1,Fail,Chalk Powder,2024-01-20
SMP000543,6,16,Pass,None,2024-01-20
SMP000544,19,1,Fail,Starch,2024-01-20
SMP000545,17,10,Pass,None,2024-01-20
SMP000546,9,13,Pass,None,2024-01-20
SMP000547,4,13,Fail,Synthetic Color,2024-01-20
SMP000548,19,1,Pass,None,2024-01-20
SMP000549,15,15,Pass,None,2024-01-21
SMP000550,21,15,Pass,None,2024-01-21
SMP000551,15,9,Pass,None,2024-01-21
SMP000552,23,8,Pass,None,2024-01-21
SMP000553,16,1,Fail,Starch,2024-01-21
SMP000554,16,9,Fail,Chalk Powder,2024-01-21
SMP000555,23,6,Pass,None,2024-01-21
SMP000556,11,13,Fail,Starch,2024-01-21
SMP000557,4,6,Pass,None,2024-01-21
SMP000558,1,11,Pass,None,2024-01-21
SMP000559,21,2,Fail,Formalin,2024-01-21
SMP000560,17,2,Fail,Chalk Powder,2024-01-21
SMP000561,19,2,Fail,Formalin,2024-01-21
SMP000562,6,1,Pass,None,2024-01-21
SMP000563,4,9,Pass,None,2024-01-21
SMP000564,1,13,Fail,Starch,2024-01-21
SMP000565,9,10,Pass,None,2024-01-21
SMP000566,17,9,Pass,None,2024-01-21
SMP000567,10,11,Fail,Formalin,2024-01-21
SMP000568,12,5,Pass,None,2024-01-21
SMP000569,24,6,Pass,None,2024-01-21
SMP000570,9,5,Pass,None,2024-01-21
SMP000571,15,12,Pass,None,2024-01-21
SMP000572,22,3,Pass,None,2024-01-21
SMP000573,10,1,Fail,Urea,2024-01-21
SMP000574,17,10,Fail,Chalk Powder,2024-01-21
SMP000575,23,16,Pass,None,2024-01-21
SMP000576,25,10,Pass,None,2024-01-21
SMP000577,5,13,Fail,Urea,2024-01-22
SMP000578,24,11,Fail,Chalk Powder,2024-01-22
SMP000579,14,8,Fail,Detergent,2024-01-22
SMP000580,7,12,Fail,Chalk Powder,2024-01-22
